"id"	"diary"	"previous"	"perform_type"	"memory"	"audience"	"pa"	"na"	"age"	"gender"	"instrument"	"years_study"	"mpqab"	"mpqsr"	"mpqpem"	"mpqnem"	"mpqcon"
7	4	3	"Solo"	"Score"	"Instructor"	11	22	21	"Female"	"orchestral instrument"	12	11	15	41	44	50
7	5	4	"Large Ensemble"	"Score"	"Public Performance"	26	12	21	"Female"	"orchestral instrument"	12	11	15	41	44	50
7	6	5	"Large Ensemble"	"Score"	"Public Performance"	26	11	21	"Female"	"orchestral instrument"	12	11	15	41	44	50
7	7	6	"Large Ensemble"	"Score"	"Public Performance"	27	14	21	"Female"	"orchestral instrument"	12	11	15	41	44	50
7	8	7	"Solo"	"Score"	"Instructor"	17	13	21	"Female"	"orchestral instrument"	12	11	15	41	44	50
7	9	8	"Large Ensemble"	"Score"	"Student(s)"	26	27	21	"Female"	"orchestral instrument"	12	11	15	41	44	50
7	10	9	"Solo"	"Score"	"Juried Recital"	28	24	21	"Female"	"orchestral instrument"	12	11	15	41	44	50
7	11	10	"Solo"	"Score"	"Juried Recital"	25	19	21	"Female"	"orchestral instrument"	12	11	15	41	44	50
7	12	11	"Large Ensemble"	"Score"	"Student(s)"	31	13	21	"Female"	"orchestral instrument"	12	11	15	41	44	50
7	13	12	"Large Ensemble"	"Score"	"Student(s)"	28	19	21	"Female"	"orchestral instrument"	12	11	15	41	44	50
7	14	13	"Large Ensemble"	"Score"	"Student(s)"	20	10	21	"Female"	"orchestral instrument"	12	11	15	41	44	50
7	15	14	"Large Ensemble"	"Score"	"Student(s)"	20	14	21	"Female"	"orchestral instrument"	12	11	15	41	44	50
8	2	1	"Solo"	"Score"	"Instructor"	39	20	20	"Female"	"orchestral instrument"	10	22	16	68	47	59
8	3	2	"Large Ensemble"	"Score"	"Public Performance"	29	21	20	"Female"	"orchestral instrument"	10	22	16	68	47	59
8	4	3	"Large Ensemble"	"Score"	"Public Performance"	40	15	20	"Female"	"orchestral instrument"	10	22	16	68	47	59
8	5	4	"Small Ensemble"	"Score"	"Public Performance"	36	17	20	"Female"	"orchestral instrument"	10	22	16	68	47	59
8	6	5	"Solo"	"Score"	"Instructor"	34	18	20	"Female"	"orchestral instrument"	10	22	16	68	47	59
8	7	6	"Large Ensemble"	"Memory"	"Public Performance"	43	14	20	"Female"	"orchestral instrument"	10	22	16	68	47	59
8	8	7	"Large Ensemble"	"Score"	"Public Performance"	43	13	20	"Female"	"orchestral instrument"	10	22	16	68	47	59
8	9	8	"Large Ensemble"	"Score"	"Public Performance"	29	19	20	"Female"	"orchestral instrument"	10	22	16	68	47	59
8	10	9	"Large Ensemble"	"Score"	"Public Performance"	44	13	20	"Female"	"orchestral instrument"	10	22	16	68	47	59
8	11	10	"Small Ensemble"	"Score"	"Public Performance"	15	18	20	"Female"	"orchestral instrument"	10	22	16	68	47	59
8	12	11	"Solo"	"Unspecified"	"Instructor"	37	12	20	"Female"	"orchestral instrument"	10	22	16	68	47	59
8	13	12	"Solo"	"Unspecified"	"Juried Recital"	48	15	20	"Female"	"orchestral instrument"	10	22	16	68	47	59
8	14	13	"Solo"	"Score"	"Student(s)"	24	19	20	"Female"	"orchestral instrument"	10	22	16	68	47	59
8	15	14	"Solo"	"Score"	"Instructor"	36	10	20	"Female"	"orchestral instrument"	10	22	16	68	47	59
9	1	0	"Small Ensemble"	"Score"	"Public Performance"	24	12	21	"Male"	"orchestral instrument"	12	25	8	50	24	51
9	2	1	"Large Ensemble"	"Score"	"Public Performance"	36	14	21	"Male"	"orchestral instrument"	12	25	8	50	24	51
9	3	2	"Large Ensemble"	"Score"	"Public Performance"	31	14	21	"Male"	"orchestral instrument"	12	25	8	50	24	51
9	4	3	"Solo"	"Score"	"Student(s)"	24	28	21	"Male"	"orchestral instrument"	12	25	8	50	24	51
9	5	4	"Large Ensemble"	"Score"	"Public Performance"	35	23	21	"Male"	"orchestral instrument"	12	25	8	50	24	51
9	6	5	"Large Ensemble"	"Score"	"Public Performance"	33	20	21	"Male"	"orchestral instrument"	12	25	8	50	24	51
9	7	6	"Large Ensemble"	"Score"	"Public Performance"	38	18	21	"Male"	"orchestral instrument"	12	25	8	50	24	51
9	8	7	"Large Ensemble"	"Score"	"Public Performance"	32	15	21	"Male"	"orchestral instrument"	12	25	8	50	24	51
9	9	8	"Large Ensemble"	"Score"	"Public Performance"	42	22	21	"Male"	"orchestral instrument"	12	25	8	50	24	51
9	10	9	"Solo"	"Memory"	"Juried Recital"	41	16	21	"Male"	"orchestral instrument"	12	25	8	50	24	51
9	11	10	"Solo"	"Memory"	"Student(s)"	33	13	21	"Male"	"orchestral instrument"	12	25	8	50	24	51
9	12	11	"Solo"	"Memory"	"Juried Recital"	43	13	21	"Male"	"orchestral instrument"	12	25	8	50	24	51
9	13	12	"Solo"	"Memory"	"Juried Recital"	36	28	21	"Male"	"orchestral instrument"	12	25	8	50	24	51
9	14	13	"Small Ensemble"	"Score"	"Public Performance"	29	11	21	"Male"	"orchestral instrument"	12	25	8	50	24	51
9	15	14	"Solo"	"Memory"	"Student(s)"	33	16	21	"Male"	"orchestral instrument"	12	25	8	50	24	51
10	1	0	"Solo"	"Memory"	"Juried Recital"	42	14	19	"Female"	"voice"	5	17	13	52	27	39
10	2	1	"Solo"	"Score"	"Student(s)"	26	14	19	"Female"	"voice"	5	17	13	52	27	39
10	3	2	"Solo"	"Unspecified"	"Instructor"	36	12	19	"Female"	"voice"	5	17	13	52	27	39
10	4	3	"Large Ensemble"	"Memory"	"Public Performance"	27	11	19	"Female"	"voice"	5	17	13	52	27	39
10	5	4	"Solo"	"Memory"	"Student(s)"	35	13	19	"Female"	"voice"	5	17	13	52	27	39
10	6	5	"Large Ensemble"	"Memory"	"Public Performance"	34	15	19	"Female"	"voice"	5	17	13	52	27	39
10	7	6	"Large Ensemble"	"Memory"	"Public Performance"	37	13	19	"Female"	"voice"	5	17	13	52	27	39
10	8	7	"Solo"	"Score"	"Instructor"	25	16	19	"Female"	"voice"	5	17	13	52	27	39
10	9	8	"Large Ensemble"	"Memory"	"Public Performance"	30	15	19	"Female"	"voice"	5	17	13	52	27	39
10	10	9	"Large Ensemble"	"Memory"	"Public Performance"	38	12	19	"Female"	"voice"	5	17	13	52	27	39
10	11	10	"Solo"	"Memory"	"Public Performance"	29	17	19	"Female"	"voice"	5	17	13	52	27	39
10	12	11	"Solo"	"Unspecified"	"Instructor"	22	15	19	"Female"	"voice"	5	17	13	52	27	39
10	13	12	"Solo"	"Unspecified"	"Student(s)"	20	16	19	"Female"	"voice"	5	17	13	52	27	39
10	14	13	"Solo"	"Score"	"Student(s)"	24	11	19	"Female"	"voice"	5	17	13	52	27	39
10	15	14	"Solo"	"Unspecified"	"Instructor"	13	15	19	"Female"	"voice"	5	17	13	52	27	39
12	1	0	"Solo"	"Score"	"Student(s)"	31	23	19	"Female"	"orchestral instrument"	2	30	15	57	40	68
12	2	1	"Solo"	"Score"	"Instructor"	39	17	19	"Female"	"orchestral instrument"	2	30	15	57	40	68
12	3	2	"Small Ensemble"	"Score"	"Public Performance"	28	25	19	"Female"	"orchestral instrument"	2	30	15	57	40	68
12	4	3	"Solo"	"Score"	"Student(s)"	36	26	19	"Female"	"orchestral instrument"	2	30	15	57	40	68
12	5	4	"Small Ensemble"	"Score"	"Public Performance"	24	12	19	"Female"	"orchestral instrument"	2	30	15	57	40	68
12	6	5	"Solo"	"Score"	"Juried Recital"	48	29	19	"Female"	"orchestral instrument"	2	30	15	57	40	68
12	7	6	"Solo"	"Score"	"Instructor"	44	18	19	"Female"	"orchestral instrument"	2	30	15	57	40	68
12	8	7	"Small Ensemble"	"Score"	"Public Performance"	41	16	19	"Female"	"orchestral instrument"	2	30	15	57	40	68
12	9	8	"Small Ensemble"	"Score"	"Public Performance"	24	12	19	"Female"	"orchestral instrument"	2	30	15	57	40	68
12	10	9	"Large Ensemble"	"Score"	"Public Performance"	18	15	19	"Female"	"orchestral instrument"	2	30	15	57	40	68
12	11	10	"Large Ensemble"	"Score"	"Public Performance"	37	13	19	"Female"	"orchestral instrument"	2	30	15	57	40	68
12	12	11	"Small Ensemble"	"Score"	"Public Performance"	33	13	19	"Female"	"orchestral instrument"	2	30	15	57	40	68
12	13	12	"Large Ensemble"	"Score"	"Public Performance"	14	16	19	"Female"	"orchestral instrument"	2	30	15	57	40	68
13	1	0	"Solo"	"Score"	"Student(s)"	30	19	20	"Female"	"orchestral instrument"	5	23	10	52	24	74
13	2	1	"Solo"	"Score"	"Instructor"	31	11	20	"Female"	"orchestral instrument"	5	23	10	52	24	74
13	3	2	"Solo"	"Unspecified"	"Instructor"	40	12	20	"Female"	"orchestral instrument"	5	23	10	52	24	74
13	4	3	"Large Ensemble"	"Score"	"Public Performance"	39	15	20	"Female"	"orchestral instrument"	5	23	10	52	24	74
13	5	4	"Large Ensemble"	"Score"	"Public Performance"	41	11	20	"Female"	"orchestral instrument"	5	23	10	52	24	74
13	6	5	"Large Ensemble"	"Score"	"Public Performance"	34	10	20	"Female"	"orchestral instrument"	5	23	10	52	24	74
13	7	6	"Large Ensemble"	"Unspecified"	"Public Performance"	39	12	20	"Female"	"orchestral instrument"	5	23	10	52	24	74
13	8	7	"Solo"	"Score"	"Instructor"	26	12	20	"Female"	"orchestral instrument"	5	23	10	52	24	74
13	9	8	"Solo"	"Score"	"Instructor"	24	11	20	"Female"	"orchestral instrument"	5	23	10	52	24	74
13	10	9	"Solo"	"Score"	"Student(s)"	33	11	20	"Female"	"orchestral instrument"	5	23	10	52	24	74
13	11	10	"Solo"	"Score"	"Juried Recital"	33	18	20	"Female"	"orchestral instrument"	5	23	10	52	24	74
13	12	11	"Small Ensemble"	"Score"	"Public Performance"	40	18	20	"Female"	"orchestral instrument"	5	23	10	52	24	74
13	13	12	"Solo"	"Score"	"Student(s)"	29	15	20	"Female"	"orchestral instrument"	5	23	10	52	24	74
13	14	13	"Solo"	"Unspecified"	"Public Performance"	35	17	20	"Female"	"orchestral instrument"	5	23	10	52	24	74
13	15	14	"Small Ensemble"	"Memory"	"Public Performance"	35	13	20	"Female"	"orchestral instrument"	5	23	10	52	24	74
15	1	0	"Small Ensemble"	"Memory"	"Student(s)"	36	18	21	"Female"	"voice"	11	28	17	64	32	43
15	2	1	"Solo"	"Score"	"Student(s)"	26	28	21	"Female"	"voice"	11	28	17	64	32	43
15	3	2	"Solo"	"Score"	"Instructor"	19	24	21	"Female"	"voice"	11	28	17	64	32	43
15	4	3	"Solo"	"Memory"	"Student(s)"	22	11	21	"Female"	"voice"	11	28	17	64	32	43
15	5	4	"Solo"	"Unspecified"	"Instructor"	14	28	21	"Female"	"voice"	11	28	17	64	32	43
15	6	5	"Large Ensemble"	"Memory"	"Public Performance"	41	14	21	"Female"	"voice"	11	28	17	64	32	43
15	7	6	"Large Ensemble"	"Memory"	"Public Performance"	30	13	21	"Female"	"voice"	11	28	17	64	32	43
15	8	7	"Large Ensemble"	"Memory"	"Public Performance"	21	10	21	"Female"	"voice"	11	28	17	64	32	43
15	9	8	"Large Ensemble"	"Memory"	"Public Performance"	32	12	21	"Female"	"voice"	11	28	17	64	32	43
15	10	9	"Small Ensemble"	"Memory"	"Student(s)"	28	14	21	"Female"	"voice"	11	28	17	64	32	43
15	11	10	"Solo"	"Score"	"Public Performance"	24	11	21	"Female"	"voice"	11	28	17	64	32	43
15	12	11	"Small Ensemble"	"Memory"	"Student(s)"	32	13	21	"Female"	"voice"	11	28	17	64	32	43
15	13	12	"Small Ensemble"	"Memory"	"Public Performance"	30	11	21	"Female"	"voice"	11	28	17	64	32	43
15	14	13	"Solo"	"Memory"	"Juried Recital"	36	16	21	"Female"	"voice"	11	28	17	64	32	43
15	15	14	"Solo"	"Memory"	"Public Performance"	26	10	21	"Female"	"voice"	11	28	17	64	32	43
16	1	0	"Large Ensemble"	"Unspecified"	"Public Performance"	49	19	20	"Female"	"voice"	7	24	18	51	45	29
16	2	1	"Large Ensemble"	"Unspecified"	"Public Performance"	35	15	20	"Female"	"voice"	7	24	18	51	45	29
16	3	2	"Large Ensemble"	"Unspecified"	"Public Performance"	40	16	20	"Female"	"voice"	7	24	18	51	45	29
16	4	3	"Large Ensemble"	"Unspecified"	"Public Performance"	41	12	20	"Female"	"voice"	7	24	18	51	45	29
16	5	4	"Solo"	"Memory"	"Juried Recital"	38	25	20	"Female"	"voice"	7	24	18	51	45	29
16	6	5	"Solo"	"Memory"	"Juried Recital"	42	20	20	"Female"	"voice"	7	24	18	51	45	29
17	1	0	"Large Ensemble"	"Unspecified"	"Public Performance"	38	20	22	"Male"	"orchestral instrument"	13	29	5	57	27	23
17	2	1	"Solo"	"Unspecified"	"Instructor"	41	18	22	"Male"	"orchestral instrument"	13	29	5	57	27	23
17	3	2	"Large Ensemble"	"Unspecified"	"Public Performance"	31	15	22	"Male"	"orchestral instrument"	13	29	5	57	27	23
17	4	3	"Large Ensemble"	"Unspecified"	"Public Performance"	23	11	22	"Male"	"orchestral instrument"	13	29	5	57	27	23
17	5	4	"Large Ensemble"	"Unspecified"	"Public Performance"	43	21	22	"Male"	"orchestral instrument"	13	29	5	57	27	23
17	6	5	"Small Ensemble"	"Score"	"Student(s)"	39	19	22	"Male"	"orchestral instrument"	13	29	5	57	27	23
17	7	6	"Solo"	"Score"	"Juried Recital"	22	18	22	"Male"	"orchestral instrument"	13	29	5	57	27	23
17	8	7	"Solo"	"Unspecified"	"Instructor"	29	13	22	"Male"	"orchestral instrument"	13	29	5	57	27	23
17	9	8	"Solo"	"Memory"	"Student(s)"	39	25	22	"Male"	"orchestral instrument"	13	29	5	57	27	23
17	10	9	"Solo"	"Memory"	"Student(s)"	38	28	22	"Male"	"orchestral instrument"	13	29	5	57	27	23
17	11	10	"Large Ensemble"	"Memory"	"Public Performance"	40	27	22	"Male"	"orchestral instrument"	13	29	5	57	27	23
17	12	11	"Large Ensemble"	"Memory"	"Public Performance"	37	15	22	"Male"	"orchestral instrument"	13	29	5	57	27	23
17	13	12	"Large Ensemble"	"Memory"	"Public Performance"	29	29	22	"Male"	"orchestral instrument"	13	29	5	57	27	23
17	14	13	"Large Ensemble"	"Memory"	"Public Performance"	33	18	22	"Male"	"orchestral instrument"	13	29	5	57	27	23
17	15	14	"Large Ensemble"	"Memory"	"Public Performance"	43	25	22	"Male"	"orchestral instrument"	13	29	5	57	27	23
18	1	0	"Solo"	"Unspecified"	"Instructor"	43	15	19	"Male"	"orchestral instrument"	15	17	6	59	24	81
18	2	1	"Large Ensemble"	"Unspecified"	"Public Performance"	48	11	19	"Male"	"orchestral instrument"	15	17	6	59	24	81
18	3	2	"Large Ensemble"	"Unspecified"	"Public Performance"	48	13	19	"Male"	"orchestral instrument"	15	17	6	59	24	81
18	4	3	"Large Ensemble"	"Unspecified"	"Public Performance"	47	12	19	"Male"	"orchestral instrument"	15	17	6	59	24	81
18	5	4	"Large Ensemble"	"Unspecified"	"Public Performance"	50	10	19	"Male"	"orchestral instrument"	15	17	6	59	24	81
18	6	5	"Solo"	"Unspecified"	"Instructor"	44	10	19	"Male"	"orchestral instrument"	15	17	6	59	24	81
18	7	6	"Solo"	"Score"	"Juried Recital"	46	10	19	"Male"	"orchestral instrument"	15	17	6	59	24	81
18	8	7	"Solo"	"Unspecified"	"Instructor"	41	16	19	"Male"	"orchestral instrument"	15	17	6	59	24	81
18	9	8	"Solo"	"Unspecified"	"Juried Recital"	42	19	19	"Male"	"orchestral instrument"	15	17	6	59	24	81
18	10	9	"Solo"	"Memory"	"Public Performance"	43	12	19	"Male"	"orchestral instrument"	15	17	6	59	24	81
18	11	10	"Large Ensemble"	"Score"	"Public Performance"	45	15	19	"Male"	"orchestral instrument"	15	17	6	59	24	81
18	12	11	"Large Ensemble"	"Score"	"Public Performance"	44	13	19	"Male"	"orchestral instrument"	15	17	6	59	24	81
18	13	12	"Large Ensemble"	"Score"	"Public Performance"	46	11	19	"Male"	"orchestral instrument"	15	17	6	59	24	81
18	14	13	"Large Ensemble"	"Score"	"Public Performance"	46	11	19	"Male"	"orchestral instrument"	15	17	6	59	24	81
18	15	14	"Large Ensemble"	"Score"	"Public Performance"	44	12	19	"Male"	"orchestral instrument"	15	17	6	59	24	81
19	1	0	"Solo"	"Memory"	"Student(s)"	34	15	21	"Female"	"voice"	4	21	1	51	11	52
19	2	1	"Large Ensemble"	"Memory"	"Public Performance"	31	12	21	"Female"	"voice"	4	21	1	51	11	52
19	3	2	"Small Ensemble"	"Memory"	"Student(s)"	25	13	21	"Female"	"voice"	4	21	1	51	11	52
19	4	3	"Solo"	"Unspecified"	"Instructor"	30	10	21	"Female"	"voice"	4	21	1	51	11	52
19	5	4	"Solo"	"Unspecified"	"Student(s)"	31	10	21	"Female"	"voice"	4	21	1	51	11	52
19	6	5	"Solo"	"Unspecified"	"Instructor"	38	11	21	"Female"	"voice"	4	21	1	51	11	52
19	7	6	"Solo"	"Unspecified"	"Instructor"	34	13	21	"Female"	"voice"	4	21	1	51	11	52
19	8	7	"Solo"	"Score"	"Instructor"	39	10	21	"Female"	"voice"	4	21	1	51	11	52
19	9	8	"Solo"	"Unspecified"	"Juried Recital"	41	16	21	"Female"	"voice"	4	21	1	51	11	52
19	10	9	"Solo"	"Memory"	"Juried Recital"	39	12	21	"Female"	"voice"	4	21	1	51	11	52
19	11	10	"Solo"	"Memory"	"Juried Recital"	34	12	21	"Female"	"voice"	4	21	1	51	11	52
19	12	11	"Solo"	"Memory"	"Juried Recital"	39	13	21	"Female"	"voice"	4	21	1	51	11	52
19	13	12	"Solo"	"Memory"	"Juried Recital"	38	11	21	"Female"	"voice"	4	21	1	51	11	52
19	14	13	"Solo"	"Memory"	"Instructor"	42	12	21	"Female"	"voice"	4	21	1	51	11	52
19	15	14	"Solo"	"Memory"	"Instructor"	37	10	21	"Female"	"voice"	4	21	1	51	11	52
20	1	0	"Solo"	"Memory"	"Juried Recital"	40	21	21	"Female"	"voice"	3	7	14	34	35	54
20	2	1	"Solo"	"Score"	"Instructor"	31	16	21	"Female"	"voice"	3	7	14	34	35	54
21	1	0	"Solo"	"Score"	"Instructor"	17	12	18	"Female"	"orchestral instrument"	7	26	20	57	40	74
21	2	1	"Solo"	"Score"	"Instructor"	16	17	18	"Female"	"orchestral instrument"	7	26	20	57	40	74
21	3	2	"Large Ensemble"	"Score"	"Public Performance"	37	22	18	"Female"	"orchestral instrument"	7	26	20	57	40	74
21	4	3	"Large Ensemble"	"Score"	"Public Performance"	24	13	18	"Female"	"orchestral instrument"	7	26	20	57	40	74
21	5	4	"Small Ensemble"	"Score"	"Public Performance"	24	11	18	"Female"	"orchestral instrument"	7	26	20	57	40	74
21	6	5	"Large Ensemble"	"Unspecified"	"Public Performance"	27	12	18	"Female"	"orchestral instrument"	7	26	20	57	40	74
21	7	6	"Large Ensemble"	"Score"	"Public Performance"	33	13	18	"Female"	"orchestral instrument"	7	26	20	57	40	74
21	8	7	"Solo"	"Unspecified"	"Public Performance"	33	16	18	"Female"	"orchestral instrument"	7	26	20	57	40	74
21	9	8	"Solo"	"Score"	"Student(s)"	20	27	18	"Female"	"orchestral instrument"	7	26	20	57	40	74
21	10	9	"Small Ensemble"	"Score"	"Public Performance"	30	18	18	"Female"	"orchestral instrument"	7	26	20	57	40	74
21	11	10	"Solo"	"Score"	"Juried Recital"	22	26	18	"Female"	"orchestral instrument"	7	26	20	57	40	74
21	12	11	"Small Ensemble"	"Score"	"Public Performance"	18	10	18	"Female"	"orchestral instrument"	7	26	20	57	40	74
